name,address,email,interests,reward_member,password
John Smith,1234 N Clark St Chicago IL,john.smith1@gmail.com,Action movies,TRUE,John1#Act
Emily Johnson,5678 W Madison St Chicago IL,emily.johnson2@gmail.com,Romantic comedies,FALSE,Emily2$Rom
Michael Brown,9101 S Michigan Ave Chicago IL,michael.brown3@gmail.com,Sci-fi and fantasy,TRUE,Michael3!Sci
Sarah Davis,2345 W Fullerton Ave Chicago IL,sarah.davis4@gmail.com,Horror,FALSE,Sarah4%Hor
David Wilson,6789 N Western Ave Chicago IL,david.wilson5@gmail.com,Drama,TRUE,David5&Dra
Jessica Martinez,3456 S Halsted St Chicago IL,jessica.martinez6@gmail.com,Animated films,FALSE,Jessica6*Ani
Daniel Anderson,7890 W Irving Park Rd Chicago IL,daniel.anderson7@gmail.com,Documentaries,TRUE,Daniel7@Doc
Ashley Taylor,4567 N Ashland Ave Chicago IL,ashley.taylor8@gmail.com,Thrillers,FALSE,Ashley8#Thr
Matthew Thomas,8912 W Belmont Ave Chicago IL,matthew.thomas9@gmail.com,Action,TRUE,Matthew9$Act
Amanda Hernandez,1235 S Pulaski Rd Chicago IL,amanda.hernandez10@gmail.com,Romance,FALSE,Amanda10!Rom
Christopher Moore,5679 N Kedzie Ave Chicago IL,chris.moore11@gmail.com,Comedy,TRUE,Christopher11%Com
Stephanie Martin,9102 W Diversey Ave Chicago IL,steph.martin12@gmail.com,Drama,FALSE,Stephanie12&Dra
Joshua Jackson,2346 N Milwaukee Ave Chicago IL,josh.jackson13@gmail.com,Sci-fi,TRUE,Joshua13*Sci
Megan Thompson,6780 W Addison St Chicago IL,megan.thompson14@gmail.com,Horror,FALSE,Megan14@Hor
Andrew White,3457 N Cicero Ave Chicago IL,andrew.white15@gmail.com,Action,TRUE,Andrew15#Act
Lauren Lopez,7891 S Western Ave Chicago IL,lauren.lopez16@gmail.com,Romance,FALSE,Lauren16$Rom
Ryan Lee,4568 W Lawrence Ave Chicago IL,ryan.lee17@gmail.com,Fantasy,TRUE,Ryan17!Fan
