client_email,type,card_number,billing_address
john.smith1@gmail.com,credit,4539148803436467,1234 N Clark St Chicago IL
emily.johnson2@gmail.com,debit,4485275742308327,
michael.brown3@gmail.com,credit,4716108999716531,9101 S Michigan Ave Chicago IL
sarah.davis4@gmail.com,debit,4929001587123482,
david.wilson5@gmail.com,credit,4556737586899855,6789 N Western Ave Chicago IL
jessica.martinez6@gmail.com,debit,4532758771091795,
daniel.anderson7@gmail.com,credit,4916010496523472,7890 W Irving Park Rd Chicago IL
ashley.taylor8@gmail.com,debit,4024007136512380,
matthew.thomas9@gmail.com,credit,4485040993287612,8912 W Belmont Ave Chicago IL
amanda.hernandez10@gmail.com,debit,4532015112830366,
chris.moore11@gmail.com,credit,4716461583322103,5679 N Kedzie Ave Chicago IL
steph.martin12@gmail.com,debit,4539578763621486,
josh.jackson13@gmail.com,credit,4485275742301137,2346 N Milwaukee Ave Chicago IL
megan.thompson14@gmail.com,debit,4556737586891275,
andrew.white15@gmail.com,credit,4716108999719925,3457 N Cicero Ave Chicago IL
lauren.lopez16@gmail.com,debit,4539148803432248,
ryan.lee17@gmail.com,credit,4485040993283394,4568 W Lawrence Ave Chicago IL
rachel.gonzalez18@gmail.com,debit,4532758771095530,
brandon.harris19@gmail.com,credit,4716461583327744,1236 S State St Chicago IL
nicole.clark20@gmail.com,debit,4532015112838896,
justin.lewis21@gmail.com,credit,4485275742304478,9103 N Broadway Chicago IL
samantha.robinson22@gmail.com,debit,4539578763629941,
tyler.walker23@gmail.com,credit,4556737586896697,6781 N Damen Ave Chicago IL
brittany.young24@gmail.com,debit,4716108999711246,
kevin.allen25@gmail.com,credit,4539148803433499,7892 S Cottage Grove Ave Chicago IL
hannah.king26@gmail.com,debit,5105105105105100,
jason.wright27@gmail.com,credit,5200828282828210,8914 W Grand Ave Chicago IL
olivia.scott28@gmail.com,debit,5404000000000001,
zach.green29@gmail.com,credit,5555555555554444,5671 W Foster Ave Chicago IL
victoria.adams30@gmail.com,debit,5111111111111118,
aaron.baker31@gmail.com,credit,5506900000000004,2348 W Belmont Ave Chicago IL
chloe.nelson32@gmail.com,debit,5425233430109903,
nathan.carter33@gmail.com,credit,5555555555551111,3459 W Madison St Chicago IL
grace.mitchell34@gmail.com,debit,5500005555555559,
kyle.perez35@gmail.com,credit,5212345678901237,4570 N Western Ave Chicago IL
lily.roberts36@gmail.com,debit,5323456789012346,
ethan.turner37@gmail.com,credit,5434567890123455,1238 N Ashland Ave Chicago IL
ava.phillips38@gmail.com,debit,5545678901234564,
logan.campbell39@gmail.com,credit,5156789012345673,9105 N Kedzie Ave Chicago IL
mia.parker40@gmail.com,debit,5267890123456782,
caleb.evans41@gmail.com,credit,5378901234567891,6783 N Milwaukee Ave Chicago IL
ella.edwards42@gmail.com,debit,5489012345678900,
noah.collins43@gmail.com,credit,5590123456789019,7894 S Halsted St Chicago IL
abigail.stewart44@gmail.com,debit,5112233445566778,
liam.sanchez45@gmail.com,credit,5223344556677887,8916 W Lawrence Ave Chicago IL
sophia.morris46@gmail.com,debit,5334455667788996,
lucas.rogers47@gmail.com,credit,5445566778899005,5673 W Chicago Ave Chicago IL
isabella.reed48@gmail.com,debit,5556677889900114,
mason.cook49@gmail.com,credit,5167788990011223,2350 W North Ave Chicago IL
amelia.morgan50@gmail.com,debit,5278899001122332,
john.smith1@gmail.com,debit,4532768890123456,
michael.brown3@gmail.com,debit,4716123498765432,
david.wilson5@gmail.com,debit,4485990011223344,
daniel.anderson7@gmail.com,debit,4929112233445566,
matthew.thomas9@gmail.com,debit,4556889900112233,
chris.moore11@gmail.com,debit,4532887766554433,
josh.jackson13@gmail.com,debit,4716998877665544,
andrew.white15@gmail.com,debit,4485776655443322,
ryan.lee17@gmail.com,debit,4929332211009988,
brandon.harris19@gmail.com,debit,4556443322110099,
justin.lewis21@gmail.com,debit,4532998877001122,
tyler.walker23@gmail.com,debit,4716889900221133,
