sale_id,quantity_sold,ticket_price,client_email,card_number,screening_id
1,4,20,john.smith1@gmail.com,4.53915E+15,10
2,3,13.8,emily.johnson2@gmail.com,4.48528E+15,5
3,2,10.8,,,2
4,5,9,michael.brown3@gmail.com,4.71611E+15,7
5,6,16.8,sarah.davis4@gmail.com,4.929E+15,3
6,4,14.4,david.wilson5@gmail.com,4.55674E+15,12
7,3,10.8,,,6
8,5,14.4,jessica.martinez6@gmail.com,4.53276E+15,1
9,4,13.8,daniel.anderson7@gmail.com,4.91601E+15,9
10,2,10.8,,,4
11,3,14.4,ashley.taylor8@gmail.com,4.02401E+15,11
12,4,13.8,matthew.thomas9@gmail.com,4.48504E+15,8
13,5,14.4,amanda.hernandez10@gmail.com,4.53202E+15,14
14,3,20,chris.moore11@gmail.com,4.71646E+15,17
15,2,10.8,,,15
16,4,9,steph.martin12@gmail.com,4.53958E+15,20
17,6,16.8,josh.jackson13@gmail.com,4.48528E+15,13
18,5,13.8,megan.thompson14@gmail.com,4.55674E+15,18
19,3,9,,,16
20,4,9,andrew.white15@gmail.com,4.71611E+15,19
